"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"71","16506","8142","1","20110124020","电视机","12","1","台","2.000000","2.000000","1250.000000","2500.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","2500","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"72","15240","8142","1","20110124014","小鼓","12","1","个","16.000000","16.000000","31.000000","500.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","500","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"73","14896","8142","1","20110124013","衣服","12","1","套","26.000000","26.000000","46.000000","1200.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","1200","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"74","25828","8142","1","","农家书屋","12","1","套","1.000000","1.000000","20000.000000","20000.000000","","村委　","1","","2012-10-25","191","2012-10-25","T","","","","20000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"75","16286","8142","1","20110124018","DVD","12","1","个","2.000000","2.000000","450.000000","900.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","900","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"76","16283","8142","1","20110124011","球篮","12","1","付","1.000000","1.000000","800.000000","800.000000","","村委","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","800","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"77","25825","8142","1","","文化大院","12","1","座","1.000000","1.000000","29206.000000","29206.000000","","文化大院","1","","2012-10-25","191","2012-10-25","T","","2010年硬化地面859平方米","","29206","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"78","15432","8142","1","20110124010","远程教育播放机","14","1","台","1.000000","1.000000","400.000000","400.000000","","村委　","1","村委","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","400","","14","010303","教学科研设施","4","套","T","教学科研设施",""
"79","31330","8142","1","","体育器械","17","1","","1.000000","1.000000","7500.000000","7500.000000","","文化大院","1","","2013-12-23","191","2013-12-23","F","","","","7500","","17","010502","专用设备","6","个","T","专用设备",""
"80","25829","8142","1","","道路","18","2","平方米","2100.000000","2100.000000","49.000000","102900.000000","","村内","1","","2012-10-25","191","2012-10-25","T","","一事一议工程","","102900","","18","010503","其它","6","个","T","其它",""
"81","15751","8151","1","20110124009","硬化道路","6","2","米","4500.000000","920.000000","150.000000","675000.000000","","西沟","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","675000","","6","0105","其他","1","个","T","其他",""
"82","15924","8151","1","20110124001","牛场","6","2","间","110.000000","110.000000","1000000.000000","1000000.000000","","荆村牛场","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐。","0","1000000","","6","0105","其他","1","个","T","其他",""
"83","15339","8151","1","20110124002","村委办公楼","7","2","间","22.000000","22.000000","12000.000000","270000.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐。2000年建成包括学校一所，砖混二层22间600平方米，院硬化等，占地8亩。","0","270000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"84","23912","8151","1","","电器","10","1","套","2.000000","2.000000","70.000000","140.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","电风扇一个、电暧器一个","","140","","10","010201","办公设备","3","套","T","办公设备",""
"85","23907","8151","1","","竹床","11","1","套","2.000000","2.000000","100.000000","200.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","","","200","","11","010202","办公家具","3","套","T","办公家具",""
"86","23908","8151","1","","档案柜","11","1","套","4.000000","4.000000","350.000000","1500.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","","","1500","","11","010202","办公家具","3","套","T","办公家具",""
"87","14979","8151","1","20110124004","凳子","11","1","个","80.000000","80.000000","1400.000000","1400.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐。","0","1400","","11","010202","办公家具","3","套","T","办公家具",""
"88","15750","8151","1","20110124006","电视柜","11","1","个","1.000000","1.000000","200.000000","200.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","200","","11","010202","办公家具","3","套","T","办公家具",""
"89","15749","8151","1","20110124003","桌子","11","1","张","60.000000","60.000000","80.000000","4800.000000","","村委　","1","村委　","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐,2008年镇计生办赠30张。","0","4800","","11","010202","办公家具","3","套","T","办公家具",""
"90","23909","8151","1","","连椅","11","1","套","1.000000","1.000000","100.000000","100.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","","","100","","11","010202","办公家具","3","套","T","办公家具",""
"91","15937","8151","1","20110124008","高音喇叭","12","1","个","4.000000","4.000000","200.000000","200.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","200","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"92","15125","8151","1","20110124005","电视机","12","1","台","1.000000","1.000000","2000.000000","2000.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐。","0","2000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
"93","23919","8151","1","","文化大院","12","2","套","1.000000","1.000000","120000.000000","120000.000000","","村委","1","","2012-10-19","191","2012-10-19","T","","2010年建，2012年三资清查入帐。","","120000","","12","010301","文化体育娱乐设施","4","套","T","文化体育娱乐设施",""
